month,year,month_year,trips_bluebike,trips_divvy
1,2017,Jan-17,19518,111942
2,2017,Feb-17,17272,166343
3,2017,Mar-17,31253,153406
4,2017,Apr-17,99860,268662
5,2017,May-17,127894,345988
6,2017,Jun-17,161910,505164
7,2017,Jul-17,175833,565142
8,2017,Aug-17,190651,557639
9,2017,Sep-17,165386,485489
10,2017,Oct-17,163662,354104
11,2017,Nov-17,105463,189739
12,2017,Dec-17,55072,125396
1,2018,Jan-18,40932,109706
2,2018,Feb-18,62817,102950
3,2018,Mar-18,62985,174489
4,2018,Apr-18,98194,200112
5,2018,May-18,178865,401150
6,2018,Jun-18,205359,458419
7,2018,Jul-18,242916,544703
8,2018,Aug-18,236076,530755
9,2018,Sep-18,236182,438112
10,2018,Oct-18,200100,344940
11,2018,Nov-18,121419,168774
12,2018,Dec-18,81961,128972
1,2019,Jan-19,69872,103272
2,2019,Feb-19,80466,96186
3,2019,Mar-19,102369,165611
4,2019,Apr-19,166694,265310
5,2019,May-19,223084,367458
6,2019,Jun-19,274022,475395
7,2019,Jul-19,316931,557315
8,2019,Aug-19,337443,590184
9,2019,Sep-19,363185,493219
10,2019,Oct-19,305504,371786
11,2019,Nov-19,190759,177176
12,2019,Dec-19,92208,155092
,,,,
,,,5604117,11250100
