month_year,bluebike_total_users,divvy_total_users
Jan-17,18437,106626
Feb-17,16211,142756
Mar-17,29348,140910
Apr-17,77322,207407
May-17,105602,263666
Jun-17,130856,372974
Jul-17,135513,385763
Aug-17,156356,411583
Sep-17,142424,369298
Oct-17,142430,295295
Nov-17,97147,177036
Dec-17,53092,118821
Jan-18,39494,106216
Feb-18,59420,99540
Mar-18,58543,158946
Apr-18,86336,178264
May-18,144520,311609
Jun-18,161765,350264
Jul-18,182169,394437
Aug-18,175696,401989
Sep-18,180534,344211
Oct-18,166241,301196
Nov-18,107626,157767
Dec-18,74333,121487
Jan-19,65090,98670
Feb-19,73691,93548
Mar-19,87846,149688
Apr-19,131880,217566
May-19,171087,285834
Jun-19,200375,345177
Jul-19,234906,381683
Aug-19,250152,403295
Sep-19,281024,364046
Oct-19,248801,300751
Nov-19,162317,158447
Dec-19,81298,138662
