year,season,month,day,day_name,weekend,divvy_total_users,bluebikes_total_users,,,,Row Labels,Sum of divvy_total_users,Sum of bluebikes_total_users
2017,Winter,Jan ,1,sunday,TRUE,1727,481,,,,2017,3829014,1313774
2017,Winter,Jan ,2,monday,FALSE,1960,802,,,,Jan ,111942,19518
2017,Winter,Jan ,3,tuesday,FALSE,4537,651,,,,Winter,111942,19518
2017,Winter,Jan ,4,wednesday,FALSE,3269,1534,,,,Feb,166343,17272
2017,Winter,Jan ,5,thursday,FALSE,2917,1330,,,,Winter,166343,17272
2017,Winter,Jan ,6,friday,FALSE,2516,836,,,,Mar,153406,31253
2017,Winter,Jan ,7,saturday,TRUE,1330,106,,,,Spring,153406,31253
2017,Winter,Jan ,8,sunday,TRUE,1193,111,,,,Apr,268662,99860
2017,Winter,Jan ,9,monday,FALSE,3816,392,,,,Spring,268662,99860
2017,Winter,Jan ,10,tuesday,FALSE,3310,469,,,,May,345988,127894
2017,Winter,Jan ,11,wednesday,FALSE,3821,773,,,,Spring,345988,127894
2017,Winter,Jan ,12,thursday,FALSE,3071,763,,,,Jun,505164,161910
2017,Winter,Jan ,13,friday,FALSE,3676,686,,,,Summer,505164,161910
2017,Winter,Jan ,14,saturday,TRUE,2160,336,,,,Aug,1122781,366484
2017,Winter,Jan ,15,sunday,TRUE,2195,395,,,,Summer,1122781,366484
2017,Winter,Jan ,16,monday,FALSE,1406,486,,,,Sep,485489,165386
2017,Winter,Jan ,17,tuesday,FALSE,4704,665,,,,Autumn,485489,165386
2017,Winter,Jan ,18,wednesday,FALSE,5337,379,,,,Oct,354104,163662
2017,Winter,Jan ,19,thursday,FALSE,4424,798,,,,Autumn,354104,163662
2017,Winter,Jan ,20,friday,FALSE,4573,717,,,,Nov,189739,105463
2017,Winter,Jan ,21,saturday,TRUE,7697,726,,,,Autumn,189739,105463
2017,Winter,Jan ,22,sunday,TRUE,3167,401,,,,Dec,125396,55072
2017,Winter,Jan ,23,monday,FALSE,5788,532,,,,Winter,125396,55072
2017,Winter,Jan ,24,tuesday,FALSE,5762,363,,,,2018,3603082,1769111
2017,Winter,Jan ,25,wednesday,FALSE,5080,773,,,,Jan ,109706,40932
2017,Winter,Jan ,26,thursday,FALSE,4731,820,,,,Winter,109706,40932
2017,Winter,Jan ,27,friday,FALSE,4376,837,,,,Feb,102950,62817
2017,Winter,Jan ,28,saturday,TRUE,2214,478,,,,Winter,102950,62817
2017,Winter,Jan ,29,sunday,TRUE,1623,518,,,,Mar,174489,65265
2017,Winter,Jan ,30,monday,FALSE,4486,763,,,,Spring,174489,65265
2017,Winter,Jan ,31,tuesday,FALSE,5076,597,,,,Apr,200112,101690
2017,Winter,Feb,1,wednesday,FALSE,5361,690,,,,Spring,200112,101690
2017,Winter,Feb,2,thursday,FALSE,4251,775,,,,May,401150,179723
2017,Winter,Feb,3,friday,FALSE,4031,723,,,,Spring,401150,179723
2017,Winter,Feb,4,saturday,TRUE,2103,427,,,,Jun,458419,204030
2017,Winter,Feb,5,sunday,TRUE,2817,416,,,,Summer,458419,204030
2017,Winter,Feb,6,monday,FALSE,6063,771,,,,Aug,1075458,480449
2017,Winter,Feb,7,tuesday,FALSE,4736,409,,,,Summer,1075458,480449
2017,Winter,Feb,8,wednesday,FALSE,5043,807,,,,Sep,438112,236105
2017,Winter,Feb,9,thursday,FALSE,4127,84,,,,Autumn,438112,236105
2017,Winter,Feb,10,friday,FALSE,4722,143,,,,Oct,344940,200514
2017,Winter,Feb,11,saturday,TRUE,4023,188,,,,Autumn,344940,200514
2017,Winter,Feb,12,sunday,TRUE,3325,63,,,,Nov,168774,117528
2017,Winter,Feb,13,monday,FALSE,6095,38,,,,Autumn,168774,117528
2017,Winter,Feb,14,tuesday,FALSE,6740,530,,,,Dec,128972,80058
2017,Winter,Feb,15,wednesday,FALSE,5527,591,,,,Winter,128972,80058
2017,Winter,Feb,16,thursday,FALSE,5582,607,,,,2019,3818004,2521232
2017,Winter,Feb,17,friday,FALSE,9042,673,,,,Jan ,103272,72359
