year,month,year_month,season,divvy_total_users,bluebikes_total_users
2017,Jan ,2017_Jan ,Winter,111942,19518
2017,Feb,2017_Feb,Winter,166343,17272
2017,Mar,2017_Mar,Spring,153406,31253
2017,Apr,2017_Apr,Spring,268662,99860
2017,May,2017_May,Spring,345988,127894
2017,Jun,2017_Jun,Summer,505164,161910
2017,Aug,2017_Aug,Summer,1122781,366484
2017,Sep,2017_Sep,Autumn,485489,165386
2017,Oct,2017_Oct,Autumn,354104,163662
2017,Nov,2017_Nov,Autumn,189739,105463
2017,Dec,2017_Dec,Winter,125396,55072
2018,Jan ,2018_Jan ,Winter,109706,40932
2018,Feb,2018_Feb,Winter,102950,62817
2018,Mar,2018_Mar,Spring,174489,65265
2018,Apr,2018_Apr,Spring,200112,101690
2018,May,2018_May,Spring,401150,179723
2018,Jun,2018_Jun,Summer,458419,204030
2018,Aug,2018_Aug,Summer,1075458,480449
2019,Sep,2019_Sep,Autumn,438112,236105
2019,Oct,2019_Oct,Autumn,344940,200514
2019,Nov,2019_Nov,Autumn,168774,117528
2019,Dec,2019_Dec,Winter,128972,80058
2019,Jan ,2019_Jan ,Winter,103272,72359
2019,Feb,2019_Feb,Winter,96186,80709
2019,Mar,2019_Mar,Spring,165611,108533
2019,Apr,2019_Apr,Spring,265310,169193
2019,May,2019_May,Spring,367458,224739
2019,Jun,2019_Jun,Summer,475395,281782
2019,Aug,2019_Aug,Summer,1147499,648932
2019,Sep,2019_Sep,Autumn,493219,367768
2019,Oct,2019_Oct,Autumn,371786,303370
2019,Nov,2019_Nov,Autumn,177176,175185
2019,Dec,2019_Dec,Winter,155092,88662
