Row Labels,Average of avg
2017,1.83089271
Autumn,1.906187232
9,1.948131246
10,1.929502669
11,1.84092778
Spring,1.855516232
3,1.657770521
4,1.945899812
5,1.962878362
Summer,2.0075971
6,2.005553965
7,2.003582614
8,2.013654721
Winter,1.554270278
1,1.488034331
2,1.345308428
12,1.829468076
2018,1.958515308
Autumn,1.948497623
9,1.9980026
10,1.95752696
11,1.88996331
Spring,1.944187257
3,1.86391791
4,1.90838451
5,2.06025935
Summer,2.081460507
6,2.10254108
7,2.07586577
8,2.06597467
Winter,1.859915847
1,1.8238313
2,1.8835964
12,1.87231984
2019,2.005132848
Autumn,2.005415485
9,2.061737247
10,2.008317662
11,1.946191546
Spring,2.020734571
3,1.962101523
4,2.024402455
5,2.075699734
Summer,2.130261414
6,2.147903798
7,2.122959322
8,2.119921121
Winter,1.864119923
1,1.85021983
2,1.839804044
12,1.902335894
Grand Total,1.931513622
